,Store,Location,Product,Price
495,Naga Mas Computer Poins,Jakarta Selatan,ACER SWIFT 1 FRESH SF114 34 P008 - N6000 4GB 512GB 14in W10 OHS,Rp6.631.000
496,UMBREON,Jakarta Pusat,ACER SWIFT 1 FRESH SF114 34 P008 - N6000 4GB 512GB 14in W10 OHS,Rp6.637.000
497,ANUGERAH DIGITAL LESTARI,Jakarta Pusat,ACER SWIFT 1 FRESH SF114 34 P008 - N6000 4GB 512GB 14in W10 OHS,Rp6.639.000
498,tmc computer,Jakarta Selatan,ACER Swift 1 N6000 4GB 512GB SSD WIN10 + APLIKASI,Rp6.650.000
499,JayaElektronic,Jakarta Barat,"Laptop Acer Swift sf'314-41 AMD Athlon 8gb/ssd,256'gb Win10",Rp6.650.000
500,MIFTAH86COMP,Kab. Jepara,Acer SWIFT 3 SF314 Ryzen 5-3500 RAM 8GB DDR4 SSD 512GB,Rp6.650.000
501,Jaya_Comp,Kab. Tangerang,ACER SWIFT 3 SF314 54G 31YU I3 7020 4GB 1TB MX150 W10.,Rp6.650.000
502,OyaniComp,Kab. Kudus,Acer SWIFT 3 SF314 Ryzen 5-3500 RAM 8GB DDR4 SSD 512GB,Rp6.650.000
503,MITRA JAYA KOMPUTER BENGKULU,Bengkulu,"ACER SWIFT 1 SF114-34-P008, INTEL N6000, 4GB, 512SSD, 14""FHDIPS, W.10",Rp6.650.000
504,Globel Computer,Palembang,Acer Swift 1 SF114 34 P2VU Pentium N6000 SSD 512GB Win11 OHS FHD IPS,Rp6.650.000
505,J comp.id,Kab. Tangerang,ACER SWIFT 3 SF314 54G 31YU I3 7020 4GB 1TB,Rp6.650.000
506,aazulshop,Bandar Lampung,LAPTOP GAMING ACER SWIFT 3 AMD ATHLON GOLD RAM 4GB SSD 256GB MULUZZ,Rp6.655.000
507,EA TECHNOLOGI,Malang,"ACER SWIFT 3 SF314 43 R6V2 Ryzen 3 5300U 8GB 256SSD R6 14""FHD IPS DOS",Rp6.699.000
508,Shine80,Yogyakarta,LAPTOP ACER SWIFT 3 ATHLON 300U 4GB 256GB ssd WINDOWS 10,Rp6.699.000
509,New Notebook COD,Jakarta Pusat,ACER SWIFT 3 SF314-54G-31YU /i3-7020U/4/1/NVIDIA MX150 2GB/W10H,Rp6.699.000
510,Elite Computer,Kab. Tangerang,"Acer Swift 1 SF114-34-P3ZB Pentium N6000 4GB 512ssd 14"" IPS Win10+OHS",Rp6.699.000
511,AMP TECH STORE,Jakarta Pusat,Acer Swift 1 Fresh SF114-34-N6000/4GB/512 SSD/14/W10/OHS,Rp6.699.000
512,Elite Computer Solution,Pontianak,ACER SWIFT SF114-34-P008 (INDESCENT SILVER) INTEL N6000/4GB/512 GB,Rp6.699.000
513,ZIHAN LOTUS COMPUTER,Surabaya,acer swift sf314 ci5,Rp6.700.000
514,RC CELL888,Medan,acer swift 3 icore 5 hdd 1 tb,Rp6.700.000
515,Murahkom Official,Surabaya,"ASUS M415DAO FHD352 AMD RYZEN 3 3250U 8GB 512GB SSD W11+OHS 14.0"" FHD - SILVER",Rp6.925.000
516,Murahkom Official,Surabaya,"LENOVO IDEAPAD 3 14ITL6 INTEL i3-1115G4 8GB 512GB SSD 14""FHD WIN11+OHS - ARCTIC GREY",Rp7.054.000
517,oyest0re,Kab. Bandung,Acer Swift 3 intel i5 gen 11 Iris XE laptop spek dewa harga mahasiswa,Rp7.999.000
518,KakiLima Comp,Kab. Tangerang,Laptop Infinix Inboox X1 Pro Intel i7 Ram 16GB 512GB SSD Windows 10,Rp8.341.000
519,Win Cell Solo,Surakarta,Acer Swift SF314-511-56QF Intel i5-1135G7 8GB RAM 512GB SSD WIN 11 ORI,Rp8.350.000
520,Laptopsuperid,Jakarta Utara,ACER SWIFT 3 SF314-54G-31YU ACER DAY I3 SILVER,Rp6.700.000
521,Deocom,Kab. Demak,Ultrabook Acer Swift 3 SF314 Aluminium,Rp6.700.000
522,ARCOM_ZTORE,Kab. Tanjung Jabung Barat,LAPTOP ACER SWIFT SF314 51 A,Rp6.700.000
523,klik.ID,Jakarta Pusat,Acer Swift 3 SF314-41 Athlon 300U|RAM 8GB|256GB SSD|Vega 3|Win10|FHD,Rp6.700.000
524,Disini Laptop,Jakarta Timur,LAPTOP ACER SWIFT SF514 TOUCH I5 1035G1 8GB RAM 256GB SSD FHD MULUS,Rp6.700.000
525,bilqis jay,Jakarta Barat,Acer Swift 3 SF314-41-R6NY/SF314-41-R0V8 Athlon 300 4GB 512ssd Vega 3,Rp6.723.000
526,Rimas Laptop Jakarta88,Jakarta Barat,"ACER SWIFT 3 SF314-43 AMD RYZEN 5-5500U 16GB 512GB 14"" FHD IPS W10 OHS",Rp6.726.850
527,Anekateknikkomindo,Jakarta Pusat,ACER SWIFT 1 FRESH SF114-34 PENTIUM N6000 4GB 512SSD FHD IPS W10 OHS,Rp6.749.000
528,EVO Laptop ID,Jakarta Pusat,"ACER SWIFT 1 SF114-34 - PENTIUM N6000 4GB 512GB 14"" FHD IPS W10 OHS",Rp6.749.000
529,ReeComp,Surabaya,ACER SWIFT SF314-43-R6V2 R3-5300,Rp6.750.000
530,Zona Comp 268,Banjarmasin,"Acer Aspire Swift 1-SF114, N6000, 4Gb-412 SSD, 14"", win 10",Rp6.750.000
531,Pantai StoreLaptop,Bandung,Laptop Acer Swift 3 i5-8425 12/256/1000 GB,Rp6.750.000
532,Glorious Comp,Jakarta Selatan,laptop acer swift 3 not dell xps lenovo thinkpad asus msi rog gaming,Rp6.750.000
533,Shoozay,Jakarta Selatan,ACER SWIFT SF314 RYZEN 4700U 16GB RAM 1TB SSD RADEON FHD BACKLIT CAM M,Rp6.750.000
534,Glorious Comp,Jakarta Selatan,laptop acer swift 3 no dell xps lenovo thinkpad asus msi rog gaming aa,Rp6.750.000
535,P COMP STORE,Bandung,LAPTOP ACER SWIFT 3 RYZEN 5 RAM 8GB/HDD 1TB FULLSET MULUS,Rp6.750.000
536,Syifa Rezza,Jakarta Barat,Laptop Acer Swift 3 SF314-54G Core i5 Gen8 Ram4gb Hdd1TB VGA MX150,Rp6.750.000
537,P COMP STORE,Bandung,Laptop Acer Swift 3 Core I5-8250U Nvidia mx150 Ram8Gb/SSD 256GB/HDD1tb,Rp6.750.000
538,Shoozay,Jakarta Selatan,ACER SWIFT SF514 TOUCH I7 1065G7 16GB RAM 512GB SSD FHD TOUCH BACKLIT,Rp6.750.000
539,Glorious Comp,Jakarta Selatan,laptop acer swift 3 no dell xps lenovo thinkpad asus msi rog gaming,Rp6.750.000
540,downtown_store,Malang,"Acer Swift 3 SF314-42 Ryzen 5-4500U, RAM 8GB, SSD 512GB",Rp6.750.000
541,Emre rei,Jakarta Selatan,Laptop Acer Swift 3 Core I3 Kabylake Nvidia Mx 150 Slim Bezelless,Rp6.772.000
542,Laptopgamer,Jakarta Pusat,Acer Swift 3 SF314-41-R3LS,Rp6.789.000
543,RAJANYA COMPUTER,Tangerang,Acer Swift 3 SF314 Ryzen 3 5300 Ram 8GB 256SSD Full HD IPS,Rp6.799.000
544,laris_barokah1,Kab. Semarang,Acer Swift 3 Intel Core i3 7020u HDD pluss SSD Second,Rp6.799.000
545,ALIENWARE OFFICIAL,Jakarta Utara,Acer Swift 3 SF314 Ryzen 3 5300 8GB 256ssd IPS W10Pre 14.0FHD,Rp6.799.000
546,Optima Tech,Bekasi,ACER Swift 3 SF314 Ryzen 3 5300 RAM 8GB 256SSD VEGA3 14FHD IPS,Rp6.799.000
547,Fast IT,Jakarta Pusat,"ACER SWIFT 3 SF314-43-R6V2 AMD Ryzen 3-5300U 8GB 512GBSSD 14""FHD IPS",Rp6.799.000
548,ProStoreComputer,Jakarta Utara,Acer Swift 3 SF314 Ryzen 3 5300 8GB 256ssd Vega3 W10PRE 14.0FHD IPS,Rp6.799.000
549,MQGcomputer,Kab. Tangerang,Laptop Acer Swift 3 Ryzen 3-5300U Ram 8GB 256GB SSD 14.0 Full HD IPS,Rp6.799.000
550,MUSAFIR TECH,Jakarta Selatan,"ACER SWIFT 3 SF314 AMD RYZEN 3 5300U 8GB 256ssd 14"" FHD IPS W10 NEW",Rp6.799.000
551,Jack-Store,Jakarta Pusat,Laptop ACER SWIFT 3 SF314 RYZEN 3 5300 8GB 256SSD W11 14.0FHD IPS,Rp6.799.000
552,ALIENWARE OFFICIAL,Jakarta Utara,LAPTOP ACER SWIFT 3 SF314 RYZEN 3 5300 8GB 256SSD 14.0FHD IPS,Rp6.799.000
553,Firstech,Jakarta Pusat,Acer Swift 3 SF314 Ryzen 3 5300 8GB 256ssd W10 14.0FHD IPS,Rp6.799.000
554,Deca Computer,Jakarta Utara,LAPTOP ACER SWIFT 3 SF314 RYZEN 3 5300 8GB 256SSD VEGA3 W11PRE 14.0FHD,Rp6.799.000
555,Tiara Galery komputer,Tangerang Selatan,Acer Swift 3 SF314 Ryzen 3 5300 8GB 256ssd Vega6 W10 14.0FHD IPS,Rp6.799.000
556,Prime Notebook,Kab. Tangerang,Acer Swift 3 SF314 AMD Ryzen ram 8GB 1TB SSD 14.0 FHD IPS BLIT KB W11,Rp6.799.000
557,GAPTECH.ID,Kab. Tangerang,ACER SWIFT 3 AMD RYZEN 3 WINDOWS FULL HD IPS,Rp6.799.000
558,Second_Offer,Kab. Bekasi,TERMURAH Laptop Mewah Touchscreen Acer Swift 5 RAM 8GB SSD 256GB,Rp6.799.000
559,slotgemer,Tangerang Selatan,ACER SWIFT 3 SF314 RYZEN 3 5300 8GB 256SSD VEGA3 W11PRE 14.0FHD IPS,Rp6.799.000
560,Gm-comp,Jakarta Barat,ACER SWIFT 1 PENTIUM SILVER N6000 4GB 512GB 14INCH FHD WIN 10+OHS ORI,Rp6.799.000
561,Gateway Indonesia Comp,Jakarta Utara,Laptop Acer Swift 3 SF314 - Ryzen 3 5300 8GB 256SSD 14FHD W10 IPS,Rp6.799.000
562,Hardware Gaming+Mining,Tangerang Selatan,Acer Swift 3 SF314 Ryzen 3 5300 8GB 256ssd Vega6 W10 14.0FHD IPS,Rp6.799.000
563,JS Notebook,Jakarta Pusat,ACER SWIFT 3 SF314 RYZEN 3 5300 8GB 256SSD VEGA3 W11PRE 14.0FHD IPS,Rp6.799.000
564,Momon Brick Shop,Tangerang Selatan,ACER SWIFT 3 SF314 RYZEN 3 5300 8GB 256SSD VEGA3 w11 14.0FHD IPS,Rp6.799.000
565,Cyberpad,Jakarta Pusat,ACER SWIFT 3 SF314 RYZEN 3 5300 8GB 256SSD VEGA3 W11PRE 14.0FHD IPS,Rp6.799.000
566,allkomputer,Jakarta Pusat,"ACER Swift 3 Ryzen 3 5300 Ram 8GB 256SSD VEGA 3 14"" FHD IPS Win 11 PRE",Rp6.799.000
567,gprojector,Bandung,"ACER SWIFT 1 Intel Pentium silver N6000.RAM 4GB.SSD 512GB,WIN10. OHS",Rp6.799.999
568,usaha mandiri komputer,Surabaya,ACER SWIFT 3 ATHLON 300U 4GB SSD 512GB,Rp6.800.000
569,okcommedan,Medan,"Laptop Acer Swift 1 FreshSF114-34 Pentium Silver N6000/4g/512g/14""/w10",Rp6.800.000
570,MSTEK,Surabaya,ACER SWIFT 3 - 4Gen ( SF314-54G ) - Core i3 - 4GB DDR4 - 1TB,Rp6.800.000
571,Cahayalaptopjogja,Kab. Sleman,Acer Swift SF314-56G (Blue) Core i7-8565u Nvidia MX250 8GB 1TB Segel,Rp6.800.000
572,Indah Distributor149,Jakarta Barat,Acer Swift 1 SF114 N5030 Pentium 4GB 512ssd 14.0FHD W10 FP,Rp6.800.000
573,Silakan Harga Di nego,Cirebon,Acer Swift 3 8/512 core i7 Nvidia GeForce MX150,Rp6.800.000
574,laptypoid,Bandung,Acer Swift 3 AMD Ryzen 5 Setara core i7 8/512/vega 8/FHD/IPS Garansi,Rp6.800.000
575,ThinkpadPD,Jakarta Timur,Ultrabook Acer Swift 5 SF514 Core i5 1035G1 Touch Slim Mulus,Rp6.800.000
576,laris_barokah1,Kab. Semarang,Acer Swift 3 Intel Core 3 7020u SSD pluss HDD Second,Rp6.800.000
577,493Mart,Depok,"Laptop Acer Swift 3 i5 8250 gen 8th,nvidia 150MX,Fullset,Garansi Resmi",Rp6.800.000
578,ALIENWARE GAMING ID,Depok,Acer Swift 3 SF314 Ryzen 3 5300 8GB 256SSD W11PRE 14.0FHD IPS,Rp6.802.000
579,irene store 2019,Pontianak,Acer swift 3 SF314-51,Rp6.820.000
580,UPDATE KOM,Jakarta Pusat,Acer Swift SF314-511-56QF Intel i5-1135G7 8GB 512GB BACKLIGHT WIN11,Rp8.351.000
581,KOTAKOM LAPTOP,Jakarta Pusat,ACER SWIFT SF314-511-56QF Intel 5 1135G7 RAM 8GB 512GB SSD NVMe,Rp8.351.000
582,RAYALAPTOP,Jakarta Pusat,Acer Swift SF314-511-56QF with Intel i5-1135G7 and 8GB RAM - Silver,Rp8.351.000
583,KOTAKOM JKT,Jakarta Pusat,Laptop Acer Swift SF314-511-56QF with Intel i5-1135G7 and 8GB RAM,Rp8.351.000
584,WORLDOFLAPTOP,Jakarta Pusat,ACER Swift SF314-511-56QF with Intel i5-1135G7 and 8GB RAM and 512GB,Rp8.351.000
