,Store,Location,Product,Price
344,Dealer Laptop,Jakarta Barat,"ACER Swift 1 Fresh SF114 34 Pentium Silver N6000 4GB 512GB SSD 14"" FHD",Rp6.192.000
345,backtolaptop BANDUNG,Bandung,Laptop Acer Swift 3 SF314-54G Intel Core i5-8250U RAM 4GB SSD 256GB,Rp6.199.000
346,MEDANGROSIR 2020,Medan,"ACER SWIFT 1 SF114-34 - PENTIUM N6000 4GB 512GB 14"" FHD IPS W10 OHS",Rp6.199.000
347,permata_nb,Bandung,Laptop Acer Swift 3 Intel Core i5-8250U 8GB SSD 256GB MULUS,Rp6.199.000
348,jualan medan,Medan,"ACER SWIFT 1 SF114-34 - PENTIUM N6000 4GB 512GB 14"" FHD IPS W10 OHS",Rp6.199.000
349,MuhamadYusupAbdulatipStore,Bandung,Laptop Acer swift SF314-54G FHD+IPS Intel Core i5-8250U 4/256gb,Rp6.199.000
350,Home Store Laptop,Bandung,Laptop Acer Swift 3 Intel Core i5-8250U 8GB SSD 256GB MX150,Rp6.199.000
351,permata_nb,Bandung,Laptop Acer Swift 3 Intel Core i5-8250U 8GB SSD 256GB NVIDIA MX250,Rp6.199.000
352,DissantsStore,Jakarta Selatan,ACER SWIFT SF514 TOUCH I5 1035G1 8GB RAM 256GB SSD,Rp6.200.000
353,Rizqi komputer,Kab. Sidoarjo,Acer Swift 3 SF314-56G Intel Core i5-8265U Ram 8GB SSD 256GB + HDD 1TB,Rp6.200.000
354,Pusat Wallpaper Pati,Kab. Pati,Acer Spin 3 Sp514 Core I5 Gen 10 Ram 8gb/256gb Touchscreen Not Swift,Rp6.200.000
355,GudangKomputer@198,Jakarta Pusat,"Acer Swift 1 SF114-34-P008 PENTIUM N6000 4GB 512GB 14"" FHD IPS W10 OHS",Rp6.200.000
356,laptypoid,Bandung,Acer Swift 3 Core i5 KOFEELAKE ram 8 SSD 256+HDD 1TB Nvidia 150Mx,Rp6.200.000
357,permata_nb,Bandung,acer swift 3 core i5 ram 12gb ssd 512gb hdd 1tb second,Rp6.200.000
358,W1 Corporation,Semarang,acer swift 3 core i3 RAM 12 GB,Rp6.200.000
359,HERO COMPUTER JOGJA,Kab. Sleman,acer swift 3 athlon 300u silver,Rp6.200.000
360,Poetra Computer,Surabaya,ACER SWIFT 3 - (ATHLON),Rp6.225.000
361,RizkyITStore,Surabaya,ACER SWIFT 1 SF114-34 PENTIUM N6000 Ram 4gb Ssd 512gb W10,Rp6.250.000
362,WawallstoreLaptop,Bandung,Limited Edition Acer Swift 3 Amd Ryzen 5 3500U Ram 8 GB /512 GB (SSD),Rp6.250.000
363,PUSAT SPAREPART MEDAN,Medan,ACER SWIFT 1 SF114 34 P008 - N6000 4GB 512GB 14in W10 OHS,Rp6.250.000
364,V3 Electronik,Jakarta Barat,Laptop Acer Swift SF314-41 Athlon 300U | RAM 8GB | SSD 256GB | Win10,Rp6.250.000
365,computerindo store,Kab. Jepara,laptop ultrabook acer Swift 5 - core i5 gen7 - ram 8gb - ssd 256gb,Rp6.250.000
366,kals stuff,Tangerang Selatan,"Laptop Acer Swift 3 SF314-56G Bekas Murah Bagus, Gaming Editing NEGO",Rp6.250.000
367,Jayabersama.,Pekanbaru,"ACER SWIFT 1 SF114-34 N6000 4GB 512GB 14"" FHD IPS",Rp6.250.000
368,kennacell,Bandung,acer swift 1 sf114 garansi 1 tahun resmi Indonesia,Rp6.250.000
369,Toko An- Nur,Kab. Tangerang,Laptop Acer Swift 3 ADE SF314-41 Amd Athlon 300U ~,Rp6.250.000
370,azzahracomputer,Semarang,acer swift 3 i3 7020 4gb 1tb vga 150mx 2gb ddr5 mulus lus,Rp6.250.000
371,BRANDED IT STORE MALANG,Malang,"Acer Swift 1 Fresh SF114 34 P008 N6000 4GB SSD 512GB 14"" FHD ORIGINAL",Rp6.251.000
372,PusatSparepart LaptopNew,Bandung,Laptop acer swift 3 SF314-56G i5-8265U MX250 Ram 8 GB SSD 256 GB Mulus,Rp6.275.000
373,Mega Star Dieng Malang,Malang,"Acer Swift 1 Fresh SF114 34 P008 N6000 4GB SSD 512GB 14"" FHD ORIGINAL",Rp6.283.000
374,QUEENPROCESSOR,Jakarta Pusat,"LAPTOP ACER SWIFT 1 FRESH SF114-34 |N6000 4GB 512GB 14""FHD W10 OHS|",Rp6.284.000
375,IT Store Poins,Jakarta Selatan,"ACER SWIFT 1 FRESH SF114-34-P008 PENTIUM N6000 4GB 512GB 14"" FHD IPS",Rp6.295.000
376,LKPP Vendor,Jakarta Pusat,Acer Swift 1 Fresh SF114-34 Pentium N6000 4GB 512SSD FHD IPS W10 OHS -,Rp6.299.000
377,House.of.IT,Jakarta Pusat,ACER SWIFT 1 FRESH SF114 34 P008 - N6000 4GB 512GB 14in W10 OHS,Rp6.299.000
378,Webcom Computer,Tanjung Pinang,Acer Swift 3 SF314-41-R0V8 AMD Athlon 300U,Rp6.299.000
379,Adain Aja,Jakarta Barat,"Acer Swift 1 SF114-33-P86X_2-N5030/4GB/512GB NVMe/Win10+OHS/14""FHD IPS",Rp6.299.000
380,Adain Aja,Jakarta Barat,"ACER Swift 1 SF114-34-P2VU NX.A77SN.002/14"" FHD/N6000/4GB/512GB SSD",Rp6.299.000
381,Grosir Tech,Jakarta Utara,LAPTOP ACER SWIFT 1 SF114-33 - PENTIUM N5030 4GB 512GB 14 FHD IPS W10,Rp6.299.000
382,HERO COMPUTER JOGJA,Kab. Sleman,acer swift 1 fresh sf114 pentium n6000,Rp6.300.000
383,Rstwn11 Store,Jakarta Pusat,laptop acer swift 3 sf314,Rp6.300.000
384,dr.com komputer,Jakarta Barat,"Laptop Acer Swift 3 SF314-54G, Core i5-8265U, Ram 4/256Gb, Lengkap",Rp6.300.000
385,Centro-Computer,Bandung,Acer Swift 3 SF314 Core i5 8th 8GB 128GB SSD 1TB HDD Muluss,Rp5.550.000
386,Murahkom Official,Surabaya,"ASUS A416JAO-FHD325 / FHD326 CORE i3-1005G1 4GB 256GB 14"" WIN 11+OHS - Grey, RAM 4GB",Rp5.867.000
387,Centro-Olshop,Bandung,Acer Swift 3 SF314 i5 8th/ 8GB /128GB SSD /1TB HDD,Rp6.000.000
388,lapycomp,Surabaya,"ASUS VIVOBOOK X SERIES INTEL CORE I3-6100 4GB 1TB 15.6"" NUMERIK WIN 10",Rp6.026.831
389,Murahkom Official,Surabaya,"ACER ASPIRE 5 A514-54-32LT INTEL i3-1115G4 RAM 4GB 256GB SSD 14,0"" FHD - 4GB+SSD 256GB",Rp6.254.000
390,Gm-comp,Jakarta Barat,ACER SWIFT 3 ATHLON 300 4gb 512gb ssd 14inch wij 10 original,Rp6.300.000
391,IP STORE COMPUTER,Bandung,Acer Swift 3 SF314 AMD Ryzen 5 3500U/Ram 8GB/SSD 512GB/FHD/Fullset,Rp6.300.000
392,REOG KOMPUTER,Kab. Ponorogo,ACER Swift 3 Core i5 Nvidia MX 150 SSD Slim Premium dan kencang,Rp6.300.000
393,MarinaFs,Jakarta Utara,Acer swift 3 SF314 - 56G i5gen 8,Rp6.300.000
394,AzisMM_Store,Bandung,Laptop Bekas Acer Swift SF314-56G i5-8265U|MX250 8GB|256GB SSD MULUS,Rp6.300.900
395,Retno Andriana,Kab. Semarang,ACER SWIFT 3 CORE I5-7200 RAM 4GB 128GB 14 SLIM MURAH POLL,Rp6.305.000
396,verrastores,Jakarta Barat,ACER Swift 3 SF314-41-R4UZ AMD Athlon 300U -4GB -256GB SSD- Rx Vega 3,Rp6.326.900
397,TECHNOLOGY ID,Jakarta Selatan,Acer Swift 1 Fresh SF114 Pentium N6000 4GB 512ssd W10+OHS 14.0FHD IPS,Rp6.349.000
398,SKYTECH STORE.ID,Jakarta Pusat,ACER SWIFT 1 FRESH SF114-34 INTEL PENTIUM N6000 RAM4GB SSD512GB W10,Rp6.349.000
399,Gaming Laptop ID,Jakarta Utara,Acer Swift 1 Fresh SF114 Pentium N6000 4GB 512ssd W10+OHS 14.0FHD IPS,Rp6.349.000
400,INFONET Mangga Dua,Jakarta Pusat,Acer Swift 1 FRESH SF114-34 N6000 4GB 512GB SSD FHD IPS W10 OHS,Rp6.349.000
401,realstore88,Kab. Bekasi,ACER SWIFT 1 SF114 33 PENTIUM N5030 512GB SSD WINDOWS 10/ FREE OFFICE,Rp6.350.000
402,dr.com komputer,Jakarta Barat,"Laptop Acer Swift 3 SF314-54G, Core i5-8250U, Ram 4/1Tb, Mulus, Slim",Rp6.350.000
403,verrastores,Jakarta Barat,ACER Swift 3 SF314-41 AMD Athlon 300U -8GB -256GB SSD- Rx Vega 3,Rp6.382.900
404,TechCities,Tangerang,ACER SWIFT 1 SF114-34-P008 - N6000 4GB 512GB 14FHD W10 OHS - SILVER,Rp6.399.000
405,Add-To-Cart,Tangerang,ACER SWIFT 1 SF114-34-P008 - N6000 4GB 512GB 14FHD W10 OHS - SILVER,Rp6.399.000
406,Adain Aja,Jakarta Barat,"ACER Swift 1 SF114-34-P1NV NX.A9USN.001/14""FHD/N6000/4GB/512GB SSD",Rp6.399.000
407,Kang Laptop,Jakarta Selatan,Acer Swift 1 Fresh SF114 Pentium N6000 4GB 512ssd W10+OHS 14.0FHD,Rp6.399.000
408,Zen Com,Kab. Tangerang,ACER SWIFT 1 SF114-34-P008 INTEL PENTIUM SILVER N6000 4GB/512GB/W 10,Rp6.399.000
409,Azriel komputindo,Kab. Ngawi,acer swift 3 sf314,Rp6.400.000
410,TechnoFast,Jakarta Barat,Laptop Bekas Murah Acer Swift 3 SF314-54G Core i5 RAM 4GB SDD 256GB,Rp6.400.000
411,Ian Widi,Jakarta Timur,Laptop Acer Swift 3 i3 8265u nvidia MX150 8GB hdd 1TB Optane notebook,Rp6.400.000
